captcha_volume,noise_volume,accuracy%
0.5,0.3,0.2
0.7142857142857143,0.42857142857142855,0.0
0.7142857142857143,0.7142857142857143,0.0
0.9285714285714286,0.5571428571428572,0.0
0.9285714285714286,0.7428571428571429,0.2
0.9285714285714286,0.9285714285714286,0.0
1.1428571428571428,0.6857142857142857,0.2
1.1428571428571428,0.8380952380952381,0.2
1.1428571428571428,0.9904761904761905,0.0
1.1428571428571428,1.1428571428571428,0.0
1.3571428571428572,0.8142857142857143,0.0
1.3571428571428572,0.95,0.2
1.3571428571428572,1.0857142857142859,0.0
1.3571428571428572,1.2214285714285715,0.0
1.3571428571428572,1.3571428571428572,0.0
1.5714285714285714,0.9428571428571428,0.2
1.5714285714285714,1.0685714285714285,0.0
1.5714285714285714,1.1942857142857144,0.0
1.5714285714285714,1.32,0.0
1.5714285714285714,1.4457142857142857,0.0
1.5714285714285714,1.5714285714285714,0.0
1.7857142857142856,1.0714285714285712,0.4
1.7857142857142856,1.1904761904761902,0.0
1.7857142857142856,1.3095238095238093,0.0
1.7857142857142856,1.4285714285714284,0.0
1.7857142857142856,1.5476190476190474,0.0
1.7857142857142856,1.6666666666666665,0.0
1.7857142857142856,1.7857142857142856,0.0
2.0,1.2,0.0
2.0,1.3142857142857143,0.2
2.0,1.4285714285714286,0.0
2.0,1.5428571428571427,0.0
2.0,1.657142857142857,0.0
2.0,1.7714285714285714,0.0
2.0,1.8857142857142857,0.0
2.0,2.0,0.0

